Country,Year,ENI,POP,URB,AFL,TI,TS,CTS,KAOPEN
MEX,1995,-1.7750108251719139,3.8533999318660155,4.295487873256643,9.045773825480369,1.772150084934297,-0.7695743474696646,0.060379117602705284,1.0559668540954592
MEX,1996,-1.8368879835799181,3.8694573772384544,4.299595660694722,9.113398512536511,1.9806814652665021,-0.6847981294863091,0.31559984405860847,1.0559668540954592
MEX,1997,-1.8692394274420252,3.8850517839640353,4.303105173168857,9.181126910982002,2.409719704879648,-0.7179038808193597,0.41844934502731684,1.0559668540954592
MEX,1998,-1.9032753658838153,3.9002127109805804,4.306575453125884,9.227508692658015,2.4283558705649506,-0.6734206026892213,0.5722761070575114,1.0559668540954592
MEX,1999,-1.9163170350483676,3.914974811128015,4.310006865321649,9.254244658035285,2.519504946882208,-0.6808635058685044,0.650928698753937,1.0559668540954592
MEX,2000,-1.9895323490754744,3.929385685844933,4.313774560157658,9.313782256888436,2.580693205195673,-0.6456400915845287,0.8089857715287051,1.0559668540954592
MEX,2001,-1.9724644129719193,3.9434252944997343,4.318087933608278,9.317387670419345,2.604515852056383,-0.7514953438517493,0.683510193538539,1.0559668540954592
MEX,2002,-1.986445923371791,3.95715543410663,4.322342976262492,9.32255036230919,2.553000017819057,-0.7614706752354565,0.6736692491824574,-0.014185254462063313
MEX,2003,-1.9683582124280148,3.970793295419345,4.326540351455745,9.348575025837286,2.4716644627135387,-0.6890418299515371,0.6168851443993485,-0.014185254462063313
MEX,2004,-2.0225486342870176,3.9846079656063527,4.330693865823014,9.399783184514567,2.535905537800099,-0.537437918973032,0.8001147338718447,1.0559668540954592
MEX,2005,-2.01643604813101,3.998766192270234,4.334777782073271,9.446016042778608,2.6113378212898866,-0.4722601921253419,0.91546035833114,1.0559668540954592
MEX,2006,-2.095465235817358,4.013328268318665,4.338805932219318,9.5330162771406,2.6682824846789694,-0.5781640675769645,0.6841206674311217,1.0559668540954592
MEX,2007,-2.151180493781625,4.028188913071612,4.342765920720579,9.567319976111905,2.7216017399576926,-0.565716973547292,0.6401658703148289,1.0559668540954592
